date,open,close,high,low,volume,code
2014/1/2,6.755,6.817,6.856,6.716,489910,1
2014/1/3,6.772,6.649,6.778,6.566,551114,1
2014/1/6,6.627,6.505,6.688,6.41,582118,1
2014/1/7,6.426,6.482,6.555,6.415,338407,1
2014/1/8,6.488,6.555,6.661,6.426,457768,1
2014/1/9,6.516,6.588,6.683,6.493,485518,1
2014/1/10,6.566,6.588,6.661,6.499,381197,1
2014/1/13,6.577,6.466,6.638,6.404,478875,1
2014/1/14,6.449,6.532,6.566,6.382,362427,1
2014/1/15,6.521,6.505,6.544,6.443,297988,1
2014/1/16,6.499,6.516,6.577,6.454,299593,1
2014/1/17,6.477,6.399,6.488,6.382,423513,1
2014/1/20,6.399,6.298,6.399,6.27,307219,1
2014/1/21,6.309,6.332,6.443,6.309,265794,1
2014/1/22,6.332,6.571,6.61,6.326,619084,1
2014/1/23,6.56,6.521,6.571,6.493,375535,1
2014/1/24,6.488,6.499,6.583,6.449,485283,1
2014/1/27,6.443,6.348,6.482,6.326,442997,1
2014/1/28,6.382,6.41,6.46,6.337,389683,1
2014/1/29,6.432,6.443,6.488,6.41,312104,1
2014/1/30,6.438,6.354,6.438,6.343,291413,1
2014/2/7,6.309,6.343,6.343,6.187,418757,1
2014/2/10,6.343,6.449,6.46,6.326,581226,1
2014/2/11,6.426,6.688,6.872,6.371,1310465,1
2014/2/12,6.616,6.655,6.8,6.605,694621,1
2014/2/13,6.594,6.811,6.967,6.577,1218192,1
2014/2/14,6.75,6.733,6.794,6.666,582339,1
2014/2/17,6.744,6.672,6.783,6.616,608921,1
2014/2/18,6.638,6.499,6.649,6.477,596061,1
2014/2/19,6.471,6.688,6.761,6.471,988174,1
2014/2/20,6.649,6.555,6.828,6.549,766324,1
2014/2/21,6.588,6.466,6.599,6.454,479996,1
2014/2/24,6.382,6.22,6.399,6.209,667820,1
2014/2/25,6.226,6.142,6.326,6.131,548387,1
2014/2/26,6.148,6.192,6.254,6.131,407937,1
2014/2/27,6.215,6.265,6.326,6.137,555086,1
2014/2/28,6.226,6.204,6.265,6.064,446237,1
2014/3/3,6.142,6.153,6.176,6.092,427431,1
2014/3/4,6.126,6.12,6.142,6.02,527585,1
2014/3/5,6.07,5.964,6.12,5.925,533016,1
2014/3/6,5.969,6.003,6.047,5.858,527382,1
2014/3/7,5.992,6.02,6.098,5.975,488654,1
2014/3/10,5.964,5.747,5.975,5.713,544320,1
2014/3/11,5.747,5.707,5.791,5.629,450789,1
2014/3/12,5.724,5.769,5.841,5.674,515107,1
2014/3/13,5.841,5.886,6.014,5.78,626625,1
2014/3/14,5.813,5.752,5.869,5.724,450392,1
2014/3/17,5.802,5.836,5.852,5.763,372979,1
2014/3/18,5.836,5.786,5.858,5.758,431814,1
